record,event,duration_s,rank_energy,is_duplicate,f1_hz,f2_hz,zeta1,zeta2,splitting_hz,kc_over_m,fft_f1_hz,fft_f2_hz
11,1,18.8,0.97749,False,36.3745,39.1401,0.003447,0.001077,2.7655,4122.3,36.3909,39.7739
12,1,14.0,0.98339,False,36.3863,39.1351,0.003516,0.001042,2.7488,4097.8,36.395,39.7176
13,1,15.2,0.98072,False,36.3744,39.1927,0.003158,0.001001,2.8184,4204.0,36.3786,39.7289
14,1,16.6,0.97706,False,36.3878,39.3374,0.002808,0.000924,2.9496,4409.0,36.3874,39.7843
15,1,18.4,0.9812,False,36.3656,39.138,0.003287,0.001057,2.7724,4132.0,36.3735,39.7456
16,1,18.4,0.9812,True,36.3656,39.138,0.003287,0.001057,2.7724,4132.0,36.3735,39.7456
17,1,18.3,0.99872,False,37.6925,37.9677,0.007103,0.000829,0.2753,411.1,37.3571,37.9482
18,1,17.6,0.99882,False,37.9835,38.6776,0.004739,0.000533,0.6941,1050.4,38.4222,38.9783
19,1,4.5,0.99093,False,,,,,,,36.0888,39.9607
19,2,5.6,0.98921,False,,,,,,,36.7166,37.2707
19,3,2.4,0.98923,False,,,,,,,35.4073,36.607
19,4,1.9,0.99007,False,,,,,,,33.5984,40.338
19,5,2.8,0.99301,False,,,,,,,33.0665,36.2186
20,1,3.0,0.99249,False,44.5344,,0.016161,,,,43.5689,44.6325
20,2,2.5,0.99591,False,44.4532,,0.015942,,,,43.74,44.5945
20,3,3.5,0.99786,False,44.4438,,0.016012,,,,44.0668,44.6038
20,4,2.1,0.99839,False,44.3998,,0.016226,,,,44.0341,44.5709
20,5,3.1,0.9981,False,41.5196,44.5028,0.053246,0.015219,2.9832,5065.5,43.59,44.6455
21,1,1.6,0.99893,False,38.0407,44.6324,0.076059,0.015239,6.5918,10757.1,43.758,44.6853
21,2,2.0,0.99658,False,44.605,,0.015373,,,,43.7626,44.7254
21,3,2.2,0.9987,False,44.6003,,0.015517,,,,44.131,44.7104
21,4,5.8,0.99891,False,44.6133,,0.015311,,,,44.0719,44.6595
21,5,3.7,0.99876,False,34.4444,44.6245,0.048063,0.015427,10.18,15888.5,44.1734,44.7811
22,1,2.1,0.99843,False,41.4971,44.623,0.033997,0.015232,3.1259,5313.8,44.0891,44.7377
22,2,2.0,0.99784,False,44.6385,,0.015093,,,,44.2073,44.74
22,3,1.7,0.99862,False,44.5815,,0.015424,,,,43.9952,44.6876
22,4,2.1,0.99763,False,44.6209,,0.015552,,,,44.1729,44.7155
22,5,1.8,0.99838,False,35.3266,44.6436,0.078596,0.015538,9.3169,14707.2,44.2329,44.7474
22,6,2.3,0.99681,False,44.6288,,0.015305,,,,43.8144,44.7344
22,7,2.3,0.99814,False,39.623,44.6744,0.25908,0.015327,5.0513,8405.2,44.0529,44.7788
23,1,9.7,0.96385,False,36.3798,39.2805,0.003586,0.001201,2.9007,4332.1,39.5245,40.0948
23,2,9.6,0.96615,False,36.3475,39.2742,0.003508,0.001238,2.9267,4368.7,36.3387,40.0406
23,3,12.9,0.96293,False,36.3428,39.227,0.003609,0.001252,2.8842,4302.3,36.3393,40.3
23,4,11.7,0.96565,False,36.3654,39.239,0.00351,0.00121,2.8736,4288.5,39.6138,40.2111
24,1,21.8,0.9543,False,36.3504,39.2189,0.003634,0.001258,2.8685,4278.9,36.355,40.3773
24,2,18.9,0.94765,False,36.3853,39.2695,0.003416,0.001196,2.8843,4307.2,36.3498,40.3289
24,3,21.0,0.94981,False,36.3487,39.3096,0.003306,0.001196,2.9608,4421.8,36.3496,40.4103
24,4,24.7,0.96216,False,36.3034,39.1411,0.003397,0.001247,2.8377,4226.0,36.3389,40.3835
24,5,6.5,0.9793,False,36.2724,39.0828,0.00327,0.001121,2.8103,4180.3,36.2769,39.2439
25,1,5.8,0.97057,False,,,,,,,34.4824,43.875
25,2,6.3,0.97526,False,,,,,,,31.2754,35.0802
25,3,10.0,0.9679,False,,,,,,,33.8782,43.9265
25,4,13.1,0.95316,False,,,,,,,33.9446,35.7417
25,5,7.9,0.9577,False,,,,,,,43.3691,43.9468
25,6,6.0,0.95467,False,,,,,,,35.8708,36.8648
25,7,8.0,0.95738,False,,,,,,,31.3315,43.9152
25,8,6.7,0.96228,False,,,,,,,32.7447,34.5061
25,9,7.1,0.96035,False,,,,,,,33.2836,41.2941
25,10,7.7,0.97044,False,,,,,,,34.2312,37.7377
25,11,7.1,0.9607,False,,,,,,,30.2685,31.7305
25,12,4.7,0.96452,False,,,,,,,37.0236,40.1118
